brand,total_tweets,conversations,customer_messages,brand_messages
AmazonHelp,304961,169287,135121,169840
AppleSupport,204644,106719,97784,106860
Uber_Support,102893,56261,46623,56270
Delta,86272,42197,44019,42253
AmericanAir,85525,36598,48761,36764
SpotifyCares,74573,43243,31308,43265
Tesco,72054,38501,33481,38573
VirginTrains,65150,27522,37333,27817
SouthwestAir,63468,28889,34491,28977
British_Airways,60040,29315,30679,29361
comcastcares,56291,33007,23260,33031
TMobileHelp,56163,34287,21846,34317
XboxSupport,52650,24341,28093,24557
Ask_Spectrum,49527,25807,23667,25860
GWRHelp,46327,19294,26963,19364
sainsburys,41456,19417,21990,19466
AskPlayStation,41333,18694,22235,19098
ChipotleTweets,40564,18612,21815,18749
hulu_support,40462,21783,18590,21872
sprintcare,36062,22335,13681,22381
